0:0:0 -> 0, 0.0014003686750, 0.0008085032315, 0.0005716981176
0:0:1 -> 1, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:0:2 -> 2, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:0:3 -> 3, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:0:4 -> 4, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:0:5 -> 5, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:0:6 -> 6, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:0:7 -> 7, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:0:8 -> 8, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:0:9 -> 9, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:0:10 -> 10, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:0:11 -> 11, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:0:12 -> 12, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:0:13 -> 13, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:0:14 -> 14, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:0:15 -> 15, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:0:16 -> 16, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:0:17 -> 17, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:0:18 -> 18, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:0:19 -> 19, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:0:20 -> 20, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:0:21 -> 21, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:0:22 -> 22, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:0:23 -> 23, -0.0094310916226, -0.0054450432871, -0.0048207943785
0:0:24 -> 24, -0.0068197657614, -0.0039373935982, -0.0052270639729
0:0:25 -> 25, -0.0046082496096, -0.0026605741526, -0.0050996254069
0:0:26 -> 26, -0.0026446650542, -0.0015268980810, -0.0046009624181
0:0:27 -> 27, -0.0008935061058, -0.0005158659907, -0.0037341235582
0:0:28 -> 28, 0.0006021948081, 0.0003476773346, -0.0023662629837
0:0:29 -> 29, 0.0014264979887, 0.0008235889978, 0.0003802655097
0:0:30 -> 30, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:0 -> 31, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:1 -> 32, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:2 -> 33, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:3 -> 34, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:4 -> 35, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:5 -> 36, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:6 -> 37, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:7 -> 38, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:8 -> 39, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:9 -> 40, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:10 -> 41, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:11 -> 42, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:12 -> 43, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:13 -> 44, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:14 -> 45, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:15 -> 46, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:16 -> 47, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:17 -> 48, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:18 -> 49, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:19 -> 50, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:20 -> 51, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:21 -> 52, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:22 -> 53, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:23 -> 54, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:24 -> 55, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:25 -> 56, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:26 -> 57, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:27 -> 58, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:28 -> 59, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:29 -> 60, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:1:30 -> 61, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:2:0 -> 62, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
0:2:1 -> 63, 987654321.0000000000000, 987654321.0000000000000, 987654321.0000000000000
